SQL> /

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
      1222          2  100135588 13301 1 1    75562.5                                               
      1222          2  100135588 50102 2 1    75562.5                                               
      1224          2  100135590 70501 2 1   18518.63                                               
      1224          3  100135590 13301 2 1   18518.63                                               
      1225          2  100135591 13301 1 1      42160                                               
      1225          2  100135591 50102 2 1      42160                                               
      1229          2  100135595 13301 1 1     240.45                                               
      1229          2  100135595 50109 2 1     240.45                                               
      1229          3  100135595 13301 2 1     240.45                                               
      1232          2  100135598 13301 1 1     3372.8                                               
      1232          2  100135598 50102 2 1     3372.8                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1232          3  100135598 13301 2 1     3372.8                                               
      1236          2  100135342 13301 1 1      25296                                               
      1236          2  100135342 50103 2 1      25296                                               
      1241          2  100135348 13301 1 1     200.38                                               
      1241          2  100135348 50109 2 1     200.38                                               
      1241          3  100135348 13301 2 1     200.38                                               
      1243          2  100135350 13301 1 1      16864                                               
      1243          2  100135350 50102 2 1      16864                                               
      1243          3  100135350 13301 2 1      16864                                               
      1244          2  100135351 13301 1 1     136.64                                               
      1244          2  100135351 50109 2 1     136.64                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1244          3  100135351 13301 2 1     136.64                                               
      1248          2  100135357 13301 1 1     5902.4                                               
      1248          2  100135357 50101 2 1     5902.4                                               
      1249          2  100135358 13301 1 1     3372.8                                               
      1249          2  100135358 50101 2 1     3372.8                                               
      1251          2  100135360 13301 1 1     193.19                                               
      1251          2  100135360 50109 2 1     193.19                                               
      1251          3  100135360 13301 2 1     193.19                                               
      1255          2  100135364 13301 1 1      421.6                                               
      1255          2  100135364 50102 2 1      421.6                                               
      1255          3  100135364 13301 2 1      421.6                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1256          2  100135365 13301 1 1     155.75                                               
      1256          2  100135365 50109 2 1     155.75                                               
      1256          3  100135365 13301 2 1     155.75                                               
      1260          2  100135369 13301 1 1     231.43                                               
      1260          2  100135369 50109 2 1     231.43                                               
      1260          3  100135369 13301 2 1     231.43                                               
      1261          2  100135371 13301 1 1      181.8                                               
      1261          2  100135371 50109 2 1      181.8                                               
      1261          3  100135371 13301 2 1      181.8                                               
      1262          2  100135372 13301 1 1      16864                                               
      1262          2  100135372 50102 2 1      16864                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1262          3  100135372 13301 2 1      16864                                               
      1263          2  100135377 13301 1 1     200.38                                               
      1263          2  100135377 50109 2 1     200.38                                               
      1263          3  100135377 13301 2 1     200.38                                               
      1264          2  100135378 13301 1 1      150.4                                               
      1264          2  100135378 50109 2 1      150.4                                               
      1264          3  100135378 13301 2 1      150.4                                               
      1265          2  100135379 13301 1 1     168640                                               
      1265          2  100135379 50102 2 1     168640                                               
      1265          3  100135379 13301 2 1     168640                                               
      1266          2  100135380 13301 1 1      32.32                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1266          2  100135380 50109 2 1      32.32                                               
      1266          3  100135380 13301 2 1      32.32                                               
      1267          2  100135381 13301 1 1     200.38                                               
      1267          2  100135381 50109 2 1     200.38                                               
      1267          3  100135381 13301 2 1     200.38                                               
      1268          2  100135382 13301 1 1    5922.49                                               
      1268          2  100135382 50109 2 1    5922.49                                               
      1268          3  100135382 13301 2 1    5922.49                                               
      1269          2  100135383 13301 1 1     5902.4                                               
      1269          2  100135383 50103 2 1     5902.4                                               
      1269          3  100135383 13301 2 1     5902.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1270          2  100135384 13301 1 1      174.1                                               
      1270          2  100135384 50109 2 1      174.1                                               
      1270          3  100135384 13301 2 1      174.1                                               
      1271          2  100135385 13301 1 1     2008.8                                               
      1271          2  100135385 50103 2 1     2008.8                                               
      1271          3  100135385 13301 2 1     2008.8                                               
      1272          2  100135386 13301 1 1      67456                                               
      1272          2  100135386 50102 2 1      67456                                               
      1272          3  100135386 13301 2 1      67456                                               
      1273          2  100135387 13301 1 1     168640                                               
      1273          2  100135387 50102 2 1     168640                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1273          3  100135387 13301 2 1     168640                                               
      1274          2  100135388 13301 1 1      14880                                               
      1274          2  100135388 50102 2 1      14880                                               
      1274          3  100135388 13301 2 1      14880                                               
      1277          2  100135391 13301 1 1     167.85                                               
      1277          2  100135391 50109 2 1     167.85                                               
      1277          3  100135391 13301 2 1     167.85                                               
      1278          2  100135392 13301 1 1     3794.4                                               
      1278          2  100135392 50102 2 1     3794.4                                               
      1278          3  100135392 13301 2 1     3794.4                                               
      1280          2  100135394 13301 1 1     2529.6                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1280          2  100135394 50102 2 1     2529.6                                               
      1280          3  100135394 13301 2 1     2529.6                                               
      1281          2  100135395 13301 1 1     179.95                                               
      1281          2  100135395 50109 2 1     179.95                                               
      1281          3  100135395 13301 2 1     179.95                                               
      1283          2  100135397 50103 2 1      77376                                               
      1283          2  100135397 13301 1 1      77376                                               
      1294          2  100135408 13301 1 1      16864                                               
      1294          2  100135408 50103 2 1      16864                                               
      1294          3  100135408 13301 2 1      16864                                               
      1297          2  100135411 13301 1 1     1686.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1297          2  100135411 50102 2 1     1686.4                                               
      1297          3  100135411 13301 2 1     1686.4                                               
      1302          2  100135417 13301 1 1      16864                                               
      1302          2  100135417 50103 2 1      16864                                               
      1302          3  100135417 13301 2 1      16864                                               
      1310          2  100135425 13301 1 1       3224                                               
      1310          2  100135425 50102 2 1       3224                                               
      1311          2  100135426 13301 1 1     248000                                               
      1311          2  100135426 50102 2 1     248000                                               
      1311          3  100135426 13301 2 1     248000                                               
      1313          2  100135428 13301 1 1       74.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1313          2  100135428 50109 2 1       74.4                                               
      1313          3  100135428 13301 2 1       74.4                                               
      1314          2  100135429 13301 1 1      12648                                               
      1314          2  100135429 50102 2 1      12648                                               
      1314          3  100135429 13301 2 1      12648                                               
      1317          2  100135432 13301 1 1     2529.6                                               
      1317          2  100135432 50102 2 1     2529.6                                               
      1317          3  100135432 13301 2 1     2529.6                                               
      1322          2  100135437 13301 1 1      68.45                                               
      1322          2  100135437 50109 2 1      68.45                                               
      1322          3  100135437 13301 2 1      68.45                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1323          2  100135438 13301 1 1     1264.8                                               
      1323          2  100135438 50102 2 1     1264.8                                               
      1323          3  100135438 13301 2 1     1264.8                                               
      1330          2  100135445 13301 1 1     2529.6                                               
      1330          2  100135445 50102 2 1     2529.6                                               
      1330          3  100135445 13301 2 1     2529.6                                               
      1331          2  100135446 13301 1 1     2529.6                                               
      1331          2  100135446 50102 2 1     2529.6                                               
      1331          3  100135446 13301 2 1     2529.6                                               
      1332          2  100135447 13301 1 1      16864                                               
      1332          2  100135447 50103 2 1      16864                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1332          3  100135447 13301 2 1      16864                                               
      1333          2  100135448 13301 1 1      84320                                               
      1333          2  100135448 50102 2 1      84320                                               
      1333          3  100135448 13301 2 1      84320                                               
      1335          2  100135859 13301 1 1    30271.5                                               
      1335          2  100135859 50102 2 1    30271.5                                               
      1335          3  100135859 13301 2 1    30271.5                                               
      1336          2  100135860 13301 1 1   108112.5                                               
      1336          2  100135860 50102 2 1   108112.5                                               
      1336          3  100135860 13301 2 1   108112.5                                               
      1337          2  100135861 13301 1 1      12493                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1337          2  100135861 50102 2 1      12493                                               
      1337          3  100135861 13301 2 1      12493                                               
      1340          2  100135864 13301 1 1     2371.5                                               
      1340          2  100135864 50102 2 1     2371.5                                               
      1340          2  100135864 13301 1 1      10200                                               
      1340          2  100135864 50102 2 1      10200                                               
      1340          3  100135864 13301 2 1     2371.5                                               
      1340          3  100135864 13301 2 1      10200                                               
      1341          2  100135865 13301 1 1      16337                                               
      1341          2  100135865 50102 2 1      16337                                               
      1341          3  100135865 13301 2 1      16337                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1343          2  100135867 13301 1 1      49600                                               
      1343          2  100135867 50106 2 1      49600                                               
      1343          3  100135867 13301 2 1      49600                                               
      1344          2  100135868 13301 1 1   28589.75                                               
      1344          2  100135868 50103 2 1   28589.75                                               
      1344          3  100135868 13301 2 1   28589.75                                               
      1345          2  100135869 13301 1 1    2450.55                                               
      1345          2  100135869 50103 2 1    2450.55                                               
      1345          3  100135869 13301 2 1    2450.55                                               
      1346          2  100135870 13301 1 1      81685                                               
      1346          2  100135870 50102 2 1      81685                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1346          3  100135870 13301 2 1      81685                                               
      1347          2  100135871 13301 1 1      418.5                                               
      1347          2  100135871 50115 2 1      418.5                                               
      1347          2  100135871 13301 1 1      20.89                                               
      1347          2  100135871 50115 2 1      20.89                                               
      1348          2  100135872 13301 1 1      32674                                               
      1348          2  100135872 50103 2 1      32674                                               
      1350          2  100135874 13301 1 1      81685                                               
      1350          2  100135874 50102 2 1      81685                                               
      1350          3  100135874 13301 2 1      81685                                               
      1351          2  100135875 13301 1 1      81685                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1351          2  100135875 50102 2 1      81685                                               
      1351          3  100135875 13301 2 1      81685                                               
      1352          2  100135876 13301 1 1      81685                                               
      1352          2  100135876 50102 2 1      81685                                               
      1352          3  100135876 13301 2 1      81685                                               
      1353          2  100135877 13301 1 1     124.93                                               
      1353          2  100135877 50103 2 1     124.93                                               
      1353          3  100135877 13301 2 1     124.93                                               
      1354          2  100135878 13301 1 1   155201.5                                               
      1354          2  100135878 50103 2 1   155201.5                                               
      1354          3  100135878 13301 2 1   155201.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1358          2  100135883 13301 1 1    7351.65                                               
      1358          2  100135883 50103 2 1    7351.65                                               
      1358          3  100135883 13301 2 1    7351.65                                               
      1362          2  100135887 13301 1 1   11556.03                                               
      1362          2  100135887 50102 2 1   11556.03                                               
      1362          3  100135887 13301 2 1   11556.03                                               
      1363          2  100135888 13301 1 1   23035.17                                               
      1363          2  100135888 50101 2 1   23035.17                                               
      1363          3  100135888 13301 2 1   23035.17                                               
      1366          2  100135891 13301 1 1      81685                                               
      1366          2  100135891 50102 2 1      81685                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1366          3  100135891 13301 2 1      81685                                               
      1368          2  100135893 13301 1 1     8168.5                                               
      1368          2  100135893 50102 2 1     8168.5                                               
      1371          2  100135895 13301 1 1      11532                                               
      1371          2  100135895 50103 2 1      11532                                               
      1371          3  100135895 13301 2 1      11532                                               
      1372          2  100135896 13301 1 1    1960.44                                               
      1372          2  100135896 50102 2 1    1960.44                                               
      1372          3  100135896 13301 2 1    1960.44                                               
      1373          2  100135897 13301 1 1    31232.5                                               
      1373          2  100135897 50102 2 1    31232.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1373          3  100135897 13301 2 1    31232.5                                               
      1374          2  100135752 13301 1 1     6587.5                                               
      1374          2  100135752 50115 2 1     6587.5                                               
      1374          2  100135752 13301 1 1     2371.5                                               
      1374          2  100135752 50115 2 1     2371.5                                               
      1378          2  100135756 13301 1 1    3063.19                                               
      1378          2  100135756 50102 2 1    3063.19                                               
      1378          3  100135756 13301 2 1    3063.19                                               
      1379          2  100135757 13301 1 1      16337                                               
      1379          2  100135757 50102 2 1      16337                                               
      1381          2  100135759 13301 1 1     273.37                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1381          2  100135759 50109 2 1     273.37                                               
      1381          3  100135759 13301 2 1     273.37                                               
      1384          2  100135762 70501 2 1     891.64                                               
      1393          2  100135771 13301 1 1     165.27                                               
      1393          2  100135771 50109 2 1     165.27                                               
      1393          3  100135771 13301 2 1     165.27                                               
      1394          2  100135772 13301 1 1     370.76                                               
      1394          2  100135772 50115 2 1     370.76                                               
      1394          2  100135772 13301 1 1     193.44                                               
      1394          2  100135772 50115 2 1     193.44                                               
      1395          2  100135773 70501 2 1      40455                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1397          2  100135775 13301 1 1     2371.5                                               
      1397          2  100135775 50115 2 1     2371.5                                               
      1397          2  100135775 13301 1 1      53.31                                               
      1397          2  100135775 50115 2 1      53.31                                               
      1398          2  100135776 13301 1 1    2042.13                                               
      1398          2  100135776 50103 2 1    2042.13                                               
      1398          3  100135776 13301 2 1    2042.13                                               
      1404          2  100135782 13301 1 1    4084.25                                               
      1404          2  100135782 50101 2 1    4084.25                                               
      1405          2  100135783 13301 1 1    24505.5                                               
      1405          2  100135783 50103 2 1    24505.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1405          3  100135783 13301 2 1    24505.5                                               
      1406          2  100135634 13301 1 1     179.16                                               
      1406          2  100135634 50109 2 1     179.16                                               
      1406          3  100135634 13301 2 1     179.16                                               
      1407          2  100135635 13301 1 1     145.33                                               
      1407          2  100135635 50109 2 1     145.33                                               
      1407          3  100135635 13301 2 1     145.33                                               
      1408          2  100135636 13301 1 1     174.15                                               
      1408          2  100135636 50109 2 1     174.15                                               
      1408          3  100135636 13301 2 1     174.15                                               
      1410          2  100135638 13301 1 1    4890.56                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1410          2  100135638 50102 2 1    4890.56                                               
      1410          3  100135638 13301 2 1    4890.56                                               
      1411          2  100135639 13301 1 1     512.16                                               
      1411          2  100135639 50109 2 1     512.16                                               
      1411          3  100135639 13301 2 1     512.16                                               
      1416          2  100135644 13301 1 1     132.09                                               
      1416          2  100135644 50109 2 1     132.09                                               
      1416          3  100135644 13301 2 1     132.09                                               
      1418          2  100135647 13301 1 1       7378                                               
      1418          2  100135647 50103 2 1       7378                                               
      1418          3  100135647 13301 2 1       7378                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1425          2  100135654 13301 1 1       7378                                               
      1425          2  100135654 50103 2 1       7378                                               
      1425          3  100135654 13301 2 1       7378                                               
      1428          2  100135657 13301 1 1     186.97                                               
      1428          2  100135657 50109 2 1     186.97                                               
      1428          3  100135657 13301 2 1     186.97                                               
      1429          2  100135658 70501 2 1    6638.34                                               
      1433          2  100135662 13301 1 1     5902.4                                               
      1433          2  100135662 50101 2 1     5902.4                                               
      1434          2  100135663 13301 1 1    6155.36                                               
      1434          2  100135663 50101 2 1    6155.36                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1439          2  100135668 13301 1 1      18445                                               
      1439          2  100135668 50102 2 1      18445                                               
      1439          3  100135668 13301 2 1      18445                                               
      1443          2  100135672 13301 1 1      87.45                                               
      1443          2  100135672 50103 2 1      87.45                                               
      1443          3  100135672 13301 2 1      87.45                                               
      1445          2  100135674 13301 1 1    18550.4                                               
      1445          2  100135674 50103 2 1    18550.4                                               
      1445          3  100135674 13301 2 1    18550.4                                               
      1446          2  100135675 13301 1 1     222.18                                               
      1446          2  100135675 50109 2 1     222.18                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1446          3  100135675 13301 2 1     222.18                                               
      1447          2  100135676 13301 1 1     197.03                                               
      1447          2  100135676 50109 2 1     197.03                                               
      1447          3  100135676 13301 2 1     197.03                                               
      1456          2  100135686 13301 1 1      25296                                               
      1456          2  100135686 50103 2 1      25296                                               
      1456          3  100135686 13301 2 1      25296                                               
      1457          2  100135687 70501 2 1       5146                                               
      1459          2  100135689 13301 1 1     1289.6                                               
      1459          2  100135689 50109 2 1     1289.6                                               
      1459          3  100135689 13301 2 1     1289.6                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1465          2  100135696 70501 2 1     1286.5                                               
      1465          3  100135696 70501 1 1     1286.5                                               
      1465          3  100135696 50115 2 1     1286.5                                               
      1466          2  100135697 13301 1 1     227.75                                               
      1466          2  100135697 50109 2 1     227.75                                               
      1466          3  100135697 13301 2 1     227.75                                               
      1467          2  100135698 13301 1 1      41.85                                               
      1467          2  100135698 50102 2 1      41.85                                               
      1467          2  100135698 13301 1 1      105.6                                               
      1467          2  100135698 50102 2 1      105.6                                               
      1467          3  100135698 13301 2 1      41.85                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1467          3  100135698 13301 2 1      105.6                                               
      1468          2  100135699 13301 1 1   44136.25                                               
      1468          2  100135699 50102 2 1   44136.25                                               
      1468          3  100135699 13301 2 1   44136.25                                               
      1474          2  100135705 13301 1 1   44136.25                                               
      1474          2  100135705 50102 2 1   44136.25                                               
      1474          3  100135705 13301 2 1   44136.25                                               
      1479          2  100135785 13301 1 1   55497.75                                               
      1479          2  100135785 50102 2 1   55497.75                                               
      1479          3  100135785 13301 2 1   55497.75                                               
      1480          2  100135786 13301 1 1    15856.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1480          2  100135786 50103 2 1    15856.5                                               
      1480          3  100135786 13301 2 1    15856.5                                               
      1481          2  100135787 13301 1 1    1470.33                                               
      1481          2  100135787 50103 2 1    1470.33                                               
      1481          3  100135787 13301 2 1    1470.33                                               
      1482          2  100135788 13301 1 1    24505.5                                               
      1482          2  100135788 50103 2 1    24505.5                                               
      1482          3  100135788 13301 2 1    24505.5                                               
      1483          2  100135789 13301 1 1      51150                                               
      1483          2  100135789 50115 2 1      51150                                               
      1483          2  100135789 13301 1 1     3952.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1483          2  100135789 50115 2 1     3952.5                                               
      1484          2  100135790 13301 1 1    34307.7                                               
      1484          2  100135790 50103 2 1    34307.7                                               
      1484          3  100135790 13301 2 1    34307.7                                               
      1485          2  100135791 13301 1 1       96.1                                               
      1485          2  100135791 50103 2 1       96.1                                               
      1485          3  100135791 13301 2 1       96.1                                               
      1486          2  100135792 13301 1 1     245055                                               
      1486          2  100135792 50102 2 1     245055                                               
      1486          3  100135792 13301 2 1     245055                                               
      1487          2  100135794 13301 1 1       6324                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1487          2  100135794 50115 2 1       6324                                               
      1487          2  100135794 13301 1 1     2346.3                                               
      1487          2  100135794 50115 2 1     2346.3                                               
      1488          2  100135795 13301 1 1    36037.5                                               
      1488          2  100135795 50102 2 1    36037.5                                               
      1488          3  100135795 13301 2 1    36037.5                                               
      1489          2  100135796 13301 1 1    4084.25                                               
      1489          2  100135796 50103 2 1    4084.25                                               
      1489          3  100135796 13301 2 1    4084.25                                               
      1491          2  100135799 13301 1 1     816.85                                               
      1491          2  100135799 50103 2 1     816.85                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1491          3  100135799 13301 2 1     816.85                                               
      1494          2  100135803 13301 1 1    21622.5                                               
      1494          2  100135803 50102 2 1    21622.5                                               
      1494          3  100135803 13301 2 1    21622.5                                               
      1495          2  100135804 13301 1 1   26667.75                                               
      1495          2  100135804 50102 2 1   26667.75                                               
      1495          3  100135804 13301 2 1   26667.75                                               
      1501          2  100135810 13301 1 1     1249.3                                               
      1501          2  100135810 50102 2 1     1249.3                                               
      1501          3  100135810 13301 2 1     1249.3                                               
      1502          2  100135811 13301 1 1    25370.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
      1502          2  100135811 50103 2 1    25370.4                                               
      1503          2  100135813 13301 1 1      59520                                               
      1503          2  100135813 50106 2 1      59520                                               
      1505          2  100135815 70501 2 1       1302                                               
      1505          3  100135815 70501 1 1       1302                                               
      1505          3  100135815 50115 2 1       1302                                               
      1506          2  100135816 70501 2 1       5146                                               
      1508          2  100135819 13301 1 1    5717.95                                               
      1508          2  100135819 50103 2 1    5717.95                                               
      1508          3  100135819 13301 2 1    5717.95                                               
      1509          2  100135820 13301 1 1      32674                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
